"------------------------------------------------------------------","",""
"Next steps: what is the experience of students from a care background in education?","",""
"Supporting data table","",""
"------------------------------------------------------------------","",""
"Group variables: Row option, Response","",""
"Statistics: Proportion of respondents","",""
"Audience: 2022 applicants who shared that they were care-experienced in their UCAS application and were below the age of 25    Domicile: UK","",""
"Coverage: All survey respondents who agreed that the care experienced description applied to them","",""
"Survey responses are weighted to represent the entire sample population.","",""
"Percentages are rounded to the nearest whole number.","",""
"------------------------------------------------------------------","",""
"Question asked:","",""
"As a care-experienced student, how do you generally expect your student experience of the following factors to be at university or college? ","",""
"------------------------------------------------------------------","",""
"------------------------------------------------------------------","",""
"Row option","Response","Proportion of respondents"
" General and pastoral support. This might include someone to talk to about your circumstances, or guidance and help to get the help you need (e.g. student support services, the student union).","Good","65%"
" General and pastoral support. This might include someone to talk to about your circumstances, or guidance and help to get the help you need (e.g. student support services, the student union).","Fair","28%"
" General and pastoral support. This might include someone to talk to about your circumstances, or guidance and help to get the help you need (e.g. student support services, the student union).","Poor","6%"
" Educational support. This might mean learning support (if needed), access to study skills workshops, help to catch up with any lost learning, or help to manage your workload.","Good","65%"
" Educational support. This might mean learning support (if needed), access to study skills workshops, help to catch up with any lost learning, or help to manage your workload.","Fair","28%"
" Educational support. This might mean learning support (if needed), access to study skills workshops, help to catch up with any lost learning, or help to manage your workload.","Poor","7%"
" Social and extra-curricular support: this might mean clubs or groups that help you meet people and make friends.","Good","59%"
" Social and extra-curricular support: this might mean clubs or groups that help you meet people and make friends.","Fair","33%"
" Social and extra-curricular support: this might mean clubs or groups that help you meet people and make friends.","Poor","7%"
" Student living: this might mean accommodation that matches your needs, help with equipment (e.g. bedding and kitchenware), help to manage your finances.","Good","64%"
" Student living: this might mean accommodation that matches your needs, help with equipment (e.g. bedding and kitchenware), help to manage your finances.","Fair","27%"
" Student living: this might mean accommodation that matches your needs, help with equipment (e.g. bedding and kitchenware), help to manage your finances.","Poor","8%"
