"------------------------------------------------------------------",""
"Next steps: what is the experience of students from a care background in education?",""
"Supporting data table",""
"------------------------------------------------------------------",""
"Group variables: Response",""
"Statistics: Proportion of respondents",""
"Audience: 2022 applicants who shared that they were care-experienced in their UCAS application and were below the age of 25    Domicile: UK",""
"Coverage: All survey respondents who agreed that the care experienced description applied to them",""
"Survey responses are weighted to represent the entire sample population.",""
"Percentages are rounded to the nearest whole number.",""
"------------------------------------------------------------------",""
"Question asked:",""
"Who at school or college helped you apply to university or college as a care-experienced student? Please tick all that apply. ",""
"------------------------------------------------------------------",""
"------------------------------------------------------------------",""
"Response","Proportion of respondents"
"Head of year (or similar)","23%"
"Tutor","49%"
"Special Educational Needs Co-ordinator (SENCO) or similar","8%"
"A subject teacher","28%"
"Careers adviser, UCAS adviser or similar","35%"
"Not sure","6%"
"Other (please specify)","8%"
